trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,8,-22.080132380500036,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,7,-71.34108185406878,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,9,-11.57358837394648,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,14,-6.075379602187576,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",25,9,7.519417437592946,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",30,3,-54.53621562779644,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 1}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",25,0,-22.696739809620237,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",30,19,23.304401472103073,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,0,16.114364743843893,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,17,-15.360446024968814,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",30,4,-48.02923411698438,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 1}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,4,-11.17478322666899,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",30,8,21.37700893222605,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,17,-9.76809787237914,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,7,-103.71897389545433,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 3}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,13,-13.805258386770149,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,2,29.207627521016253,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",30,9,0.11207214366507579,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,11,24.008567451328666,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,13,-30.82452115218205,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",20,4,24.628278979724207,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,9,-65.98922898527158,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,7,-30.050646513623153,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,13,-38.87104609369058,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,3,-9.834655886255247,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",25,19,9.456696705674403,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",20,13,14.184542321909287,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",20,0,-44.734879345139035,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,6,-37.4554694214882,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,12,0.7302344719763023,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",30,0,-116.67740912382527,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",25,8,24.608616257680545,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,0,16.089094049385196,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,0,-7.872808128688842,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,12,12.446876256041465,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,6,9.935392354476155,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,0,11.131040532688504,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",35,0,56.17576516937623,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.01, 'e': 0.17981297767299934}",30,16,-14.806452172560142,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,18,12.987440775887782,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,2,-31.79859451707159,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",30,7,14.1982629693306,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.1403316058467367}",25,20,7.596478036690552,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",30,11,20.190005984530142,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.1205027693673666}",20,10,9.966644633614514,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006957}",25,20,10.9640203773505,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693172}",25,13,15.269799477692354,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430967}",25,10,26.340916526154565,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480062}",20,16,7.384946655068684,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",25,10,29.191306936115808,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,13,12.74373958364192,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",25,11,21.80186975614516,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",30,12,32.21617997529108,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.030791459082466124}",25,8,25.582180939442356,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.02079482780309243}",30,16,12.631631184929137,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",20,16,8.030751129046752,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,10,17.468051639113476,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,28.232301174191797,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,20,26.712845399752485,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,18,15.046912438670006,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,13,25.736008815152843,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,7,24.676515806399983,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,17.07196983082732,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,8,23.591998236525953,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,23,14.760237876009196,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,37.64432276216369,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,12,23.79017192303497,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,14,12.253077808658826,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,6,27.16001607261012,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,23,13.281606486358221,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,17,14.468530822904675,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,15,19.719528433553435,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,7,29.234980076246725,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,21,17.511397823270432,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,15,20.369849734695936,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,16,6.890884941863606,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",35,16,32.48546776725611,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
